blocks,counts
0.13276295892211268,0
0.17626003261754578,0
0.23400803470013468,0
0.310675990983383,0
0.41246263829013513,0
0.5475976030421943,0
0.727006780785382,0
0.9651957137350704,0
1.2814223889440834,1
1.7012542798525883,0
2.2586355207213757,0
2.9986313485755653,0
3.9810717055349714,0
5.285388593079245,3
7.017038286703826,24
9.316027658125519,12
12.368233972929833,2
16.42043338887162,2
21.8002532349005,3
28.94266124716749,5
38.425133462543194,8
51.0143441546432,16
67.72815277441413,17
89.91789964660114,26
119.37766417144357,27
158.48931924611125,22
210.4151098066507,21
279.35332579852195,15
370.87774117744726,24
492.38826317067367,20
653.7092275705855,16
867.8837132695965,13
1152.2280977398204,7
1529.7321160913566,2
2030.9176209047348,3
2696.3063267836983,2
3579.69606104217,0
4752.510411057897,1
6309.57344480193,0
