	code	airport	state	lat	long	delay15	delay30	delay45	observations	ontime	late	percentage
0	KBOS	Logan 	MA	42.36429977	-71.00520325	401	282	490	7748	6481	1267	16.352607124419205
0	KJFK	John F. Kennedy 	NY	40.63980103	-73.77890015	606	247	463	8628	7218	1410	16.342141863699585
0	KLGA	LaGuardia 	NY	40.77719879	-73.87259674	511	249	600	7279	5707	1572	21.596373128176946
0	KCLT	Charlotte Douglas 	NC	35.21400070000001	-80.94309998	492	298	753	10019	8386	1633	16.29903183950494
0	KPHL	Philadelphia 	PA	39.87189865	-75.2410965	351	315	741	6975	5341	1634	23.426523297491038
0	KEWR	Newark Liberty 	NJ	40.69250107	-74.16870117	527	284	661	8258	6602	1656	20.053281666263018
0	KLAX	Los Angeles 	CA	33.94250107	-118.40799709999999	734	316	541	12764	11100	1664	13.03666562206205
0	KDFW	Dallas/Fort Worth 	TX	32.89680099	-97.03800201	489	305	814	12316	10608	1708	13.868139006170836
0	KSFO	San Francisco 	CA	37.61899948	-122.375	586	330	697	8394	6650	1744	20.776745294257804
0	KATL	Hartsfield-Jackson Atlanta 	GA	33.63669968	-84.42810059	1097	436	778	16800	14442	2358	14.035714285714285
0	KORD	O'Hare 	IL	41.97859955	-87.90480042	1105	613	1646	17238	13619	3619	20.9943148857176
