,per_white,seg,state
0,0.67,12.113814487497415,AL
1,0.63,7.754176048585393,AK
2,0.57,11.806988742407363,AZ
3,0.74,10.803217497030694,AR
4,0.39,11.640479129048819,CA
5,0.69,9.838097415951907,CO
6,0.7,11.563464301816277,CT
7,0.64,9.83224036191139,DE
8,0.35,11.758622519891773,DC
9,0.57,12.459584847976688,FL
10,0.55,13.306013493244015,GA
11,0.23,8.404602605992272,HI
12,0.83,5.850401082463171,ID
13,0.63,12.732362515102073,IL
14,0.81,11.159239874971869,IN
15,0.88,6.68571023658198,IA
16,0.77,7.821941595802272,KS
17,0.86,8.800262253450613,KY
18,0.6,12.609238522308985,LA
19,0.94,3.3060800359360165,ME
20,0.54,14.09885061257874,MD
21,0.75,11.631876320550914,MA
22,0.79,10.430773078074635,MI
23,0.82,9.150067044631658,MN
24,0.58,12.772432687227916,MS
25,0.81,8.361330218259475,MO
26,0.87,4.454934909678215,MT
27,0.81,7.425395278453211,NE
28,0.53,11.275465993117686,NV
29,0.92,4.256132947020258,NH
30,0.58,12.02744173423512,NJ
31,0.4,7.695314739065502,NM
32,0.57,15.712012621593134,NY
33,0.65,11.654715061196155,NC
34,0.88,4.961691961020017,ND
35,0.81,11.175575306501797,OH
36,0.68,7.4738406023457,OK
37,0.78,7.685106631009538,OR
38,0.79,12.755314526832645,PA
39,0.75,12.803581432191576,RI
40,0.64,11.018501272240279,SC
41,0.84,5.350375480529349,SD
42,0.75,13.356009795213748,TN
43,0.44,12.055989298459016,TX
44,0.8,7.906465899107851,UT
45,0.94,3.2923000498776727,VT
46,0.64,11.774953981515404,VA
47,0.71,8.422825038944682,WA
48,0.93,4.921187699654253,WV
49,0.83,8.63593290414714,WI
50,0.85,4.226498883829813,WY
